S,C,T,pwdCracked
3,1,10000,14009
4,1,10000,264
5,1,10000,4
6,1,10000,0
7,1,10000,0
3,2,10000,20811
4,2,10000,424
5,2,10000,5
6,2,10000,0
7,2,10000,0
3,3,10000,27458
4,3,10000,523
5,3,10000,7
6,3,10000,0
7,3,10000,0
3,4,10000,34025
4,4,10000,673
5,4,10000,8
6,4,10000,0
7,4,10000,0
3,5,10000,40574
4,5,10000,832
5,5,10000,6
6,5,10000,0
7,5,10000,0
3,10,10000,71089
4,10,10000,1499
5,10,10000,12
6,10,10000,1
7,10,10000,0
3,20,10000,125106
4,20,10000,2872
5,20,10000,34
6,20,10000,0
7,20,10000,0
3,40,10000,210246
4,40,10000,5374
5,40,10000,70
6,40,10000,1
7,40,10000,0
