C,T,S,pwdCracked,sample
3,1000,4,1058,137092
4,1000,4,1244,137092
5,1000,4,1553,137092
10,1000,4,2731,137092
20,1000,4,5230,137092
50,1000,4,12259,137092
3,2000,4,1998,137092
4,2000,4,2569,137092
5,2000,4,3072,137092
10,2000,4,5461,137092
20,2000,4,10216,137092
50,2000,4,22586,137092
3,5000,4,5035,137092
4,5000,4,6297,137092
5,5000,4,7491,137092
10,5000,4,13000,137092
20,5000,4,23323,137092
50,5000,4,46299,137092
3,10000,4,9838,137092
4,10000,4,11971,137092
5,10000,4,14212,137092
10,10000,4,24062,137092
20,10000,4,40197,137092
50,10000,4,70096,137092
