C,S,T,pwdCracked,sample
3,3,10000,261,17
4,3,10000,158,17
5,3,10000,152,17
10,3,10000,159,17
20,3,10000,196,17
50,3,10000,159,17
3,4,10000,3550,456
4,4,10000,3504,456
5,4,10000,3269,456
10,4,10000,3513,456
20,4,10000,3330,456
50,4,10000,3083,456
3,5,10000,4076,11881
4,5,10000,4096,11881
5,5,10000,4024,11881
10,5,10000,4005,11881
20,5,10000,3881,11881
50,5,10000,3366,11881
3,6,10000,3585,308915
4,6,10000,3546,308915
5,6,10000,3571,308915
10,6,10000,3473,308915
20,6,10000,3305,308915
50,6,10000,3205,308915
