C,T,S,pwdCracked,sample
3,1000,4,564,137092
4,1000,4,586,137092
5,1000,4,556,137092
10,1000,4,555,137092
20,1000,4,551,137092
50,1000,4,510,137092
3,2000,4,1003,137092
4,2000,4,943,137092
5,2000,4,995,137092
10,2000,4,942,137092
20,2000,4,932,137092
50,2000,4,909,137092
3,5000,4,2131,137092
4,5000,4,2181,137092
5,5000,4,2204,137092
10,5000,4,2083,137092
20,5000,4,2074,137092
50,5000,4,1935,137092
3,10000,4,4131,137092
4,10000,4,3994,137092
5,10000,4,4109,137092
10,10000,4,4021,137092
20,10000,4,3841,137092
50,10000,4,3663,137092
