S,C,T,pwdCracked,sample
3,1,10000,175,17
4,1,10000,3597,456
5,1,10000,4154,11881
6,1,10000,3623,308915
3,2,10000,111,17
4,2,10000,3523,456
5,2,10000,4086,11881
6,2,10000,3532,308915
3,4,10000,253,17
4,4,10000,3342,456
5,4,10000,4087,11881
6,4,10000,3639,308915
3,7,10000,209,17
4,7,10000,3395,456
5,7,10000,4071,11881
6,7,10000,3497,308915
3,10,10000,197,17
4,10,10000,3100,456
5,10,10000,3894,11881
6,10,10000,3532,308915
3,20,10000,132,17
4,20,10000,3198,456
5,20,10000,3761,11881
6,20,10000,3399,308915
