T,C,S,pwdCracked,sample
100,1,4,47,137092
1000,1,4,507,137092
10000,1,4,5005,137092
50000,1,4,22831,137092
200000,1,4,64516,137092
100,2,4,73,137092
1000,2,4,762,137092
10000,2,4,7469,137092
50000,2,4,31617,137092
200000,2,4,78788,137092
100,4,4,126,137092
1000,4,4,1306,137092
10000,4,4,12188,137092
50000,4,4,46374,137092
200000,4,4,93955,137092
100,7,4,195,137092
1000,7,4,2029,137092
10000,7,4,18237,137092
50000,7,4,61943,137092
200000,7,4,104572,137092
100,10,4,273,137092
1000,10,4,2831,137092
10000,10,4,24016,137092
50000,10,4,73403,137092
200000,10,4,109498,137092
100,20,4,530,137092
1000,20,4,5240,137092
10000,20,4,40606,137092
50000,20,4,93731,137092
200000,20,4,115028,137092
